win_s,fold,severity,mask_seed,structured,iid,rho
1.0,8,3,1,0.6809590534584267,0.6904416985522178,0.07409737827715356
1.0,8,3,2,0.6951188576687158,0.6790748624465678,0.11154057428214731
1.0,8,10,0,0.5369716281172107,0.58611214866194,0.31467665418227214
1.0,8,10,1,0.6687190739629467,0.6352963800145798,0.1866367041198502
1.0,8,10,2,0.5936931505761268,0.6374582308029332,0.22114357053682895
1.0,8,30,0,0.4930729889194477,0.4043030925034743,0.5324044943820224
1.0,8,30,1,0.47039402718775164,0.4908819626745134,0.4492084893882647
1.0,8,30,2,0.4440544464515555,0.46856472251050857,0.4795106117353308
1.0,9,1,0,0.821065792339596,0.8508072913392165,0.04486787878787879
1.0,9,1,1,0.7948946608959956,0.8486735059117613,0.055505454545454545
1.0,9,1,2,0.8562827342643208,0.8494412308024711,0.030661818181818182
1.0,9,3,0,0.7714001242688981,0.853663422934927,0.08107636363636364
1.0,9,3,1,0.8428450422032117,0.8492290309730604,0.10111030303030304
1.0,9,3,2,0.7814948641804763,0.8536476223450548,0.07579151515151515
1.0,9,10,0,0.7505626769754512,0.8564923797358767,0.20661333333333334
1.0,9,10,1,0.7346043814931361,0.8495985522636126,0.22331151515151515
1.0,9,10,2,0.7078471673474677,0.8535078826665544,0.1971781818181818
1.0,9,30,0,0.5554145476050077,0.8211147003782261,0.4656678787878788
1.0,9,30,1,0.6145805251656152,0.8196733979736935,0.4430545454545455
1.0,9,30,2,0.6259407358924665,0.8252817425203548,0.4512193939393939
4.0,0,1,0,0.6559064409482162,0.6999439920546869,0.08713881019830029
4.0,0,1,1,0.6580552672857429,0.7266278407582756,0.04081208687440982
4.0,0,1,2,0.6929585216867079,0.7107821749126098,0.05132200188857413
4.0,0,3,0,0.7209557217805114,0.6484585237364994,0.14681775259678942
4.0,0,3,1,0.6810312116404754,0.6918055708760894,0.11730878186968839
4.0,0,3,2,0.6294631828222051,0.6838259232867259,0.1060056657223796
4.0,0,10,0,0.4544755481851179,0.5140199030277013,0.3293767705382436
4.0,0,10,1,0.5726899099482131,0.5791167211909561,0.25606232294617565
4.0,0,10,2,0.5952599604238104,0.5610573045719026,0.2746175637393768
4.0,0,30,0,0.3222124404224496,0.1399580277980377,0.535561850802644
4.0,0,30,1,0.34785569396676186,0.19571354013056244,0.5168555240793201
4.0,0,30,2,0.34402389954262613,0.17457168809236678,0.5278186968838527
4.0,1,1,0,0.822371981711012,0.8394745635154842,0.042569444444444444
4.0,1,1,1,0.8231956895147757,0.8448005698005697,0.048095238095238094
4.0,1,1,2,0.8449760933542406,0.8317097276233215,0.028492063492063492
4.0,1,3,0,0.8275519855548636,0.832692668676189,0.08725198412698412
4.0,1,3,1,0.7360310251656891,0.8326036430272836,0.11448412698412698
4.0,1,3,2,0.7923828956835758,0.8456922347102612,0.08069444444444444
4.0,1,10,0,0.7385030607715991,0.8332111599804523,0.18761904761904763
4.0,1,10,1,0.6837307729561527,0.8043229367479717,0.32438492063492064
4.0,1,10,2,0.61805898335461,0.8269368206709582,0.2904563492063492
4.0,1,30,0,0.5455562933270715,0.5470458182928403,0.4502876984126984
4.0,1,30,1,0.4640610925173137,0.4985670327184532,0.4976388888888889
4.0,1,30,2,0.4079681630960506,0.4811062444619149,0.5247519841269841
4.0,2,1,0,0.8844267397200608,0.8950575994054254,0.019013035381750466
4.0,2,1,1,0.8641168353543226,0.8603927524687464,0.07642458100558659
4.0,2,1,2,0.861026606512553,0.8880736714975845,0.04202048417132216
4.0,2,3,0,0.7319921162625497,0.8395677975507767,0.13105214152700187
4.0,2,3,1,0.7922397275871645,0.8623514283184449,0.11194599627560521
4.0,2,3,2,0.7913550123036487,0.8291447982756447,0.10083798882681565
4.0,2,10,0,0.6194428960014127,0.7711073687768603,0.263268156424581
4.0,2,10,1,0.5941001547553093,0.8035507737855321,0.2313687150837989
4.0,2,10,2,0.578548469642697,0.7736892014304035,0.24909683426443202
4.0,2,30,0,0.34946382435424206,0.39787509585697567,0.5360428305400372
4.0,2,30,1,0.4106695405109917,0.47890582973549795,0.477756052141527
4.0,2,30,2,0.44836606816844243,0.44421346282505175,0.4911080074487896
4.0,3,1,0,0.8776315789473683,0.8882783882783882,0.03134088762983947
4.0,3,1,1,0.8821401159667165,0.8876068376068376,0.043068932955618505
4.0,3,1,2,0.887034607183861,0.8882783882783882,0.03273843248347497
4.0,3,3,0,0.8611542838844862,0.8882783882783882,0.06628895184135977
4.0,3,3,1,0.8851506686875519,0.8876068376068376,0.0873748819641171
4.0,3,3,2,0.8275270022261805,0.8876068376068376,0.10661945231350331
4.0,3,10,0,0.6987510306245568,0.8882783882783882,0.22297450424929177
4.0,3,10,1,0.7851293272747805,0.8882783882783882,0.21311614730878187
4.0,3,10,2,0.7654287311229405,0.8882783882783882,0.23991501416430594
4.0,3,30,0,0.4998520725569769,0.7522086136439912,0.44728045325779037
4.0,3,30,1,0.5252349492937453,0.7357898574491625,0.4813597733711048
4.0,3,30,2,0.5311312469856225,0.7415502246090493,0.46142587346553354
4.0,4,1,0,0.9446819154184034,0.9776556776556777,0.03647780925401322
4.0,4,1,1,0.9356717976041787,0.9806874717322479,0.030462700661000944
4.0,4,1,2,0.9431064702168581,0.9726113505747126,0.029461756373937678
4.0,4,3,0,0.8759817637638898,0.9753833736884584,0.10062322946175638
4.0,4,3,1,0.8650491545220763,0.9835668103448275,0.08036827195467422
4.0,4,3,2,0.9221333450121608,0.9726113505747126,0.06537299338999056
4.0,4,10,0,0.6642628516867372,0.9614127087036229,0.24578847969782813
4.0,4,10,1,0.767295617370359,0.9837141951804814,0.18439093484419264
4.0,4,10,2,0.6991768135680809,0.9724988445327428,0.2162795089707271
4.0,4,30,0,0.4247079502506872,0.6908003525269931,0.47144475920679885
4.0,4,30,1,0.5251938591496083,0.7172247342189025,0.4291595845136922
4.0,4,30,2,0.43841260573749036,0.6802845280554638,0.4396978281397545
4.0,5,1,0,0.802279674636513,0.8734443330835236,0.06126937984496124
4.0,5,1,1,0.8583434435248817,0.8815912356321839,0.03330426356589147
4.0,5,1,2,0.8765340528076294,0.8788897380948812,0.036782945736434106
4.0,5,3,0,0.8462201939683857,0.8706916674715863,0.10982558139534884
4.0,5,3,1,0.8398111719216016,0.8761755485893418,0.08776162790697674
4.0,5,3,2,0.7750323530397975,0.8534596665631149,0.15035852713178294
4.0,5,10,0,0.6061730644934998,0.7492053505685803,0.2976065891472868
4.0,5,10,1,0.7649454320751934,0.8157408705313106,0.23436046511627906
4.0,5,10,2,0.673205853440403,0.7708145460630401,0.27767441860465114
