run_s,ccdf
0.16875927929070805,0.9932178083886085
0.1733981777648962,0.9924733568716276
0.17816459147347186,0.9916579346222912
0.18306202558799495,0.9907660416821357
0.1880940816310827,0.9897918892344256
0.1932644601249324,0.9887293984867546
0.19857696331264724,0.9875722011686373
0.2040354979543668,0.9863136417880214
0.20964407820025815,0.9849467817880746
0.2154068285424807,0.9834644057413386
0.22132798684829508,0.9818590297122822
0.22741190747654716,0.9801229119113466
0.23366306447981883,0.9782480657536919
0.24008605489459978,0.97622627542397
0.24668560212190138,0.9740491140345449
0.2534665594007968,0.971707964448663
0.2604339133774431,0.9691940428221496
0.2675927877722094,0.9664984248973518
0.2749484471476083,0.9636120750613303
0.28250630077980066,0.9605258781568415
0.29027190663652175,0.9572306740096048
0.29825097546435353,0.9537172946088752
0.30644937498834873,0.9499766038506733
0.31487313422709556,0.9459995397243853
0.3235284479263959,0.9417771587941116
0.3324216811148174,0.937300682796414
0.34155937378447015,0.9325615471463045
0.35094824570044947,0.9275514511137789
0.3605952013424819,0.9222624094042889
0.37050733498240856,0.9166868048486377
0.3806919359012396,0.9108174418812647
0.3911564937496165,0.9046476004611415
0.4019087040556235,0.898171090066916
0.4129564738840009,0.8913823033779034
0.4243079276509171,0.8842762692353885
0.4359714130985834,0.8768487044648271
0.447955507434094,0.8690960641292405
0.46026902363701994,0.8610155897776599
0.47292101694037936,0.8526053552501911
0.4859207914897665,0.8438643096032873
0.499277907185521,0.8347923167253819
0.5130021867129837,0.8253901912241718
0.5271037227659943,0.8156597301827057
0.5415928854689588,0.8056037404019266
0.5564803300029282,0.7952260607724873
0.5717770044413125,0.7845315794482671
0.5874941578009777,0.7735262455279998
0.6036433483146606,0.7622170749894144
0.6202364519307699,0.7506121506621003
0.6372856710468413,0.7387206160704527
0.6548035434830498,0.7265526630262298
0.6728029517023988,0.7141195129008799
0.6912971322843452,0.7014333915604586
0.7102996856588494,0.6885074980000035
0.7298245861079858,0.6753559667691804
0.7498861920424917,0.6619938243361401
0.7704992565607883,0.648436939591323
0.7916789382982643,0.6347019687466622
0.8134408125747732,0.6208062949377556
0.8358008828485701,0.6067679628863597
0.8587755924850834,0.5926056090275301
0.882381836849203,0.5783383875491872
0.9066369757299507,0.5639858928314221
0.9315588461066979,0.5495680788078539
0.9571657752662887,0.5351051758014951
0.9834765942807454,0.5206176054123741
1.0105106518554379,0.5061258940534078
1.0382878285579298,0.49165058574436027
1.0668285514379343,0.47721215478109824
1.0961538090491665,0.46283091889855876
1.1262851668840987,0.44852695354099015
1.1572447832330124,0.43432000784202685
1.1890554254789663,0.42022942290031573
1.2217404868407051,0.40627405291377705
1.2553240035757827,0.39247218970759157
1.2898306726565876,0.37884149115787813
1.3252858699322332,0.3653989139753011
1.3617156687897003,0.3521606512708706
1.3991468593279415,0.33914207528061147
1.4376069680590338,0.3263576855770355
1.4771242781509037,0.31382106304410495
1.517727850226467,0.3015448298392338
1.5594475437345219,0.2895406155114254
1.6023140389080688,0.27781902938959036
1.6463588593262506,0.26638963929997783
1.6916143950964548,0.25526095661718995
1.7381139266736787,0.244440427599944
1.7858916493346186,0.2339344309112501
1.8349826983245392,0.22374828117343448
1.8854231746953571,0.21388623836203546
1.9372501718539958,0.20435152279938262
1.9905018028404813,0.1951463354691122
2.045217228355895,0.18627188333722955
2.101436685560733,0.17772840933394296
2.1592015176649175,0.16951522662350704
2.218554204331148,0.16163075676693006
2.2795383929140294,0.15407257136466435
2.3421989305578648,0.1468374367533618
2.4065818971768063,0.1399213613223722
2.4727346393415255,0.13331964501184512
2.5407058050974185,0.12702693055485081
2.6105453797398552,0.12103725603074822
2.68230472257287,0.11534410830578468
2.7560366046782456,0.10994047694939513
2.8317952477228463,0.10481890823051909
2.9096363638326483,0.09997155881717523
2.989617196562888,0.09539024882412805
3.071796562994358,0.0910665138774095
3.1562348969869105,0.08699165589029945
3.2429942936218654,0.08315679227277628
3.3321385548661238,0.07955290332498599
3.423733236491447,0.07617087759462415
3.517845696283534,0.07300155500785288
3.6145451435761915,0.07003576761318586
3.713902690147218,0.06726437780729477
3.8159914025132435,0.06467831394065482
3.920886355662107,0.062268603229027386
4.028664688262199,0.06002640192376718
4.139405659389491,0.056173852648298245
